PAYS;TNAT;TMORT;EV;T65;NBENF;TCR;CONT
Micronesie;23,96;5,92;69,17;3,711672942;3,32;0,42;OCEANIE
Moldavie;12,67;13,19;69,08;11,16489536;1,51;-0,72;EUROPE
Mongolie;18,63;6,57;67,61;4,106966358;1,95;1,12;ASIE
Montenegro;12,07;10,31;74,82;12,87236252;1,64;0,06;EUROPE
Mozambique;36,68;15,16;48,66;3,315423726;4,76;2,13;AFRIQUE
Myanmar;19,71;9,2;63,4;5,526823605;2,24;0,99;ASIE
Namibie;26,35;8,24;62,24;3,729338797;3,16;1,79;AFRIQUE
Nicaragua;23,74;4,61;74,08;4,612701691;2,6;1,46;AMERSUD
Niger;51,99;13,69;53,01;1,996752952;6,96;3,78;AFRIQUE
Nigeria;37,98;15,72;48,7;3,150597048;4,96;2,19;AFRIQUE
Norvege;11,91;8,51;81,15;15,26890023;1,87;0,79;EUROPE
NouvelleCaledonie;15,72;5,76;76,7;7,945759024;2,03;1,4;OCEANIE
NouvelleZelande;13,59;7,11;80,75;13,23213011;2,03;0,87;OCEANIE
Nepal;24,1;6,16;67,77;4,150168222;2,71;1,73;ASIE
Oman;21,75;2,76;76,33;3,191905697;2,88;1,98;ASIE
Ouganda;44,9;11,55;54,76;2,518114801;6,07;3,25;AFRIQUE
Ouzbekistan;20,22;6,5;68,41;4,384400302;2,21;1,14;ASIE
Pakistan;29,17;6,6;67,48;4,130507325;3,71;2,16;ASIE
Palestine;33,69;3,39;74,15;2,903923114;4,68;2,95;ASIE
Panama;19,58;5,11;76,12;6,835106906;2,46;1,51;AMERSUD
PapouasieNouvelleGuinee;29,94;7,64;61,89;2,539522129;3,88;2,23;OCEANIE
Paraguay;23,48;5,51;72,47;5,268933565;2,85;1,68;AMERSUD
PaysBas;10,78;8,59;80,45;15,78849733;1,76;0,33;EUROPE
Philippines;23,68;4,74;72,58;4,38506587;2,93;1,71;ASIE
Pologne;9,88;10,37;76,17;13,74489084;1,28;-0,12;EUROPE
Polynnesiefrancaise;17,52;5,29;74,98;6,171809842;2,15;1,22;OCEANIE
PortoRico;12,96;8,1;79,2;14,36034389;1,84;0,4;AMERSUD
Portugal;9,4;10,39;79,23;18,06567714;1,38;0,16;EUROPE
Perou;19,98;5,42;73,87;6,107241266;2,45;1,13;AMERSUD
Qatar;11,3;2,01;76,11;1,138388312;2,29;3,07;ASIE
Repominicaine;21,43;5,99;72,94;6,238644591;2,54;1,27;AMERSUD
RepTcheque;10,82;10,8;77,1;15,63792195;1,5;0,26;EUROPE
Roumanie;9,83;12,5;73,43;14,93639702;1,34;-0,39;EUROPE
RoyaumeUni;12,14;9,85;79,9;16,81407539;1,86;0,53;EUROPE
Russie;11,24;15,03;67,5;12,88876338;1,43;-0,35;EUROPE
Rwanda;40,63;13,78;51,52;2,448082878;5,17;2,71;AFRIQUE
RepCentrafricaine;33,87;16,13;48,06;3,87118421;4,49;1,83;AFRIQUE
RepCongo;43,22;16,31;48,27;2,651122873;5,68;2,68;AFRIQUE
Reunion;17,55;5,67;76,89;7,869823882;2,37;1,18;AFRIQUE
SaharaOccidental;22,34;5,54;67,29;2,426618049;2,57;3,33;AFRIQUE
SainteLucie;17,25;6,31;74,43;6,797221906;1,95;0,97;AMERSUD
Salvador;20,08;6,9;72,16;7,46136837;2,25;0,55;AMERSUD
Samoaoccidentales;21,83;5,22;72,43;4,905407668;3,67;0,18;OCEANIE
Serbie;11,44;11,89;74,52;14,33722813;1,61;-0,02;EUROPE
SierraLeone;39,11;14,84;48,54;1,830113905;5,06;2,39;AFRIQUE
Singapour;7,8;5,66;80,85;10,74543762;1,27;1,28;ASIE
Slovaquie;10,36;10,08;75,31;12,48036416;1,33;0,11;EUROPE
Slovenie;9,9;9,9;78,94;16,62642528;1,44;0,22;EUROPE
Somalie;42,94;14,98;50,78;2,708223367;6,26;2,66;AFRIQUE
Soudan;29,64;9,73;59,23;3,726212205;3,85;2,06;AFRIQUE
SriLanka;17,45;6,69;74,6;8,047949533;2,26;0,79;ASIE
STP;30,31;7,04;66,31;3,771564545;3,55;1,63;AFRIQUE
Suisse;9,58;8,4;82,34;17,5630574;1,47;0,37;EUROPE
Surinam;18,25;7,6;69,59;6,533451803;2,32;0,87;AMERSUD
Suede;11,65;9,87;81,42;18,6647471;1,87;0,45;EUROPE
Swaziland;29,14;14,73;47,62;3,450681109;3,3;1,37;AFRIQUE
Syrie;26,31;3,31;74,82;3,236093062;3,03;2,01;ASIE
Seal;36,72;10,16;56,57;2,376706773;4,68;2,51;AFRIQUE
Tadjikistan;27,69;6,25;67,51;3,525134717;3,22;1,84;ASIE
Tanzanie;40,52;10,43;57,5;3,146838674;5,41;2,95;AFRIQUE
Tchad;44,36;15,96;49,5;2,804062632;5,91;2,65;AFRIQUE
Thailande;14,21;9,09;69,54;7,86952048;1,84;0,55;ASIE
TimorEst;39,98;8,1;62,52;3,050718715;6,17;3,38;ASIE
Togo;31,51;7,76;63,59;3,621680246;3,99;2,36;AFRIQUE
Tonga;25,66;6,02;72,24;5,880099598;3,76;0,1;OCEANIE
TriniteTobago;14,84;8,17;70,14;7,089317092;1,67;0,37;AMERSUD
Tunisie;16,05;5,98;74,5;6,776182658;1,83;0,98;AFRIQUE
Turkmekistan;21,19;7,52;65,64;4,103381724;2,34;1,28;ASIE
Turquie;17,47;6,08;72,41;6,059980074;2,07;1,14;ASIE
Ukraine;10,61;16,1;68,8;15,50130515;1,43;-0,58;EUROPE
Uruguay;14,58;9,26;76,85;13,96214927;2,06;0,33;AMERSUD
Vanuatu;28,84;4,7;71,07;3,410760373;3,72;2,42;OCEANIE
Venezuela;20,35;5,19;74,4;5,798419026;2,44;1,54;AMERSUD
VietNam;16,34;5,44;75,12;6,3655783;1,98;1,05;ASIE
Yemen;35,54;6,61;64,3;2,416462542;4,85;2,78;ASIE
Zambie;41,16;15,36;48,17;3,072195151;5,53;2,44;AFRIQUE
Zimbabwe;29,55;13,89;48,31;4,132597804;3,22;1,72;AFRIQUE
IlesVierges;12,86;7,58;79,47;14,91155714;2,09;-0,21;AMERSUD
